Periodo;IPC;PIB;PIB_no_minero;Brecha_PIB;Brecha_PIB_no_minero;Consumo_privado;Consumo_durable;Consumo_no_durable;Brecha_Consumo_privado;Exportaciones;Importaciones;Balanza_comercial;Tasa_desempleo;TPM;TCN;TCR
dic.2000;58,74;20.558;16.961;0,00;0,00;11.514;520;5.350;1;4.717;4.222;495;8,9;5,00;572;89,7
mar.2001;59,51;20.124;16.690;0,00;0,00;10.501;385;4.941;1;5.041;4.387;654;9,5;4,54;574;89,8
jun.2001;59,95;20.457;16.911;0,00;0,00;11.035;448;4.861;1;4.856;4.168;688;10,4;3,73;606;92,0
sept.2001;60,09;19.393;15.951;0,00;0,00;10.748;436;4.825;0;4.078;4.197;-119;10,9;5,50;670;100,2
dic.2001;60,53;21.035;17.357;0,00;0,00;11.677;514;5.403;0;4.297;3.677;620;8,6;6,50;690;101,0
mar.2002;60,96;20.425;16.976;0,00;0,00;10.689;386;5.008;-1;4.622;3.681;941;9,6;5,68;670;94,1
jun.2002;61,27;20.985;17.416;0,00;0,00;11.157;446;4.910;-2;4.863;4.056;807;10,3;4,33;659;92,7
sept.2002;61,51;20.173;16.719;0,00;0,00;11.089;470;4.902;-2;4.054;4.172;-118;10,6;3,20;708;99,9
dic.2002;62,31;21.942;18.151;0,00;0,00;11.967;558;5.542;-2;4.641;3.886;756;8,7;3,00;719;100,7
mar.2003;63,26;21.364;17.749;0,00;0,00;11.007;428;5.141;-3;5.194;4.209;984;9,2;2,77;737;107,6
jun.2003;63,55;21.878;18.164;0,00;0,00;11.620;485;5.092;-3;5.308;4.458;850;10,1;2,75;710;107,0
sept.2003;63,18;20.979;17.373;0,00;0,00;11.564;504;5.137;-3;5.182;4.530;652;10,4;2,75;694;105,0
dic.2003;62,98;22.721;18.883;0,00;0,00;12.741;628;5.858;-3;5.967;4.671;1.297;8,5;2,65;626;97,6
mar.2004;63,29;22.421;18.771;0,00;0,00;11.773;509;5.520;-2;7.685;4.974;2.711;9,2;1,79;588;94,5
jun.2004;63,84;23.248;19.379;0,00;0,00;12.578;625;5.469;-2;7.975;5.292;2.682;10,9;1,75;629;100,9
sept.2004;64,13;22.705;18.873;0,00;0,00;12.579;648;5.519;-1;8.426;6.117;2.309;11,1;1,81;628;101,9
dic.2004;64,40;24.838;20.704;0,00;0,00;13.887;817;6.260;-1;8.939;6.481;2.459;8,9;2,13;593;99,4
mar.2005;64,74;23.847;20.208;0,00;0,00;12.769;617;5.847;0;9.431;6.720;2.710;9,1;2,61;578;98,8
jun.2005;65,61;24.599;20.899;0,00;0,00;13.516;734;5.758;0;10.257;7.369;2.889;10,1;3,11;581;99,0
sept.2005;66,26;23.896;20.092;0,00;0,00;13.540;798;5.845;0;10.275;8.175;2.100;9,8;3,66;553;93,8
dic.2005;66,86;26.222;22.098;0,00;0,00;14.907;1.003;6.619;1;12.011;8.410;3.601;7,9;4,37;526;88,7
mar.2006;67,37;25.311;21.666;0,00;0,00;13.760;796;6.216;1;14.008;8.484;5.523;8,4;4,64;526;89,6
jun.2006;68,11;26.228;22.339;0,00;0,00;14.550;951;6.173;1;15.999;8.872;7.127;8,9;4,96;527;91,0
sept.2006;68,57;25.346;21.534;0,00;0,00;14.491;995;6.212;1;15.067;9.717;5.349;7,9;5,21;539;93,7
dic.2006;68,36;27.905;23.667;0,00;0,00;16.014;1.213;7.061;2;14.307;9.409;4.897;6,0;5,25;529;92,4
mar.2007;69,18;26.761;22.984;0,00;0,00;14.808;959;6.622;2;16.632;9.386;7.246;6,7;5,03;540;95,0
jun.2007;70,06;27.659;23.647;0,00;0,00;15.646;1.093;6.494;2;18.551;10.603;7.948;6,9;5,00;527;94,9
sept.2007;71,85;26.453;22.541;0,00;0,00;15.431;1.115;6.464;2;16.334;11.546;4.788;7,7;5,40;520;93,3
dic.2007;73,31;29.058;24.938;0,00;0,00;17.092;1.396;7.310;3;17.045;12.943;4.102;7,2;5,79;503;92,2
mar.2008;74,72;28.196;24.576;0,00;0,00;15.780;1.070;6.845;3;19.156;13.060;6.095;7,6;6,22;464;87,5
jun.2008;76,28;28.946;25.226;0,00;0,00;16.585;1.208;6.747;3;18.319;15.502;2.817;8,4;6,36;470;91,8
sept.2008;78,56;27.352;23.858;0,00;0,00;16.039;1.155;6.614;2;15.285;16.749;-1.464;7,8;7,57;516;98,8
dic.2008;79,62;29.316;25.479;0,00;0,00;17.188;1.239;7.404;1;11.751;13.144;-1.393;7,5;8,25;639;106,8
mar.2009;78,92;27.393;24.102;0,00;0,00;15.440;847;6.818;-1;11.387;8.854;2.533;9,2;5,55;607;98,7
jun.2009;78,65;27.985;24.369;0,00;0,00;15.883;905;6.461;-3;13.093;8.974;4.119;10,7;1,44;567;95,4
sept.2009;78,09;27.051;23.399;0,00;0,00;16.117;958;6.713;-5;13.826;10.235;3.590;10,2;0,53;545;95,6
dic.2009;78,13;29.601;25.557;0,00;0,00;17.586;1.220;7.569;-5;17.157;12.079;5.079;8,6;0,50;519;93,2
mar.2010;78,72;27.890;24.422;-3,95;-4,71;16.282;1.018;7.080;-5;15.616;11.765;3.850;9,2;0,50;519;92,4
jun.2010;79,60;29.775;26.023;-2,08;-4,22;17.929;1.345;7.276;-4;16.399;13.028;3.371;8,7;0,58;530;93,4
sept.2010;79,85;29.083;25.293;-0,83;-3,53;17.956;1.367;7.320;-3;18.469;14.710;3.758;8,1;1,75;512;91,1
dic.2010;80,06;31.830;27.854;-0,24;-2,51;19.815;1.753;8.344;-1;20.625;15.712;4.913;7,2;2,88;480;88,5
mar.2011;81,01;30.472;27.248;0,88;-1,04;18.277;1.417;7.828;0;20.213;16.006;4.207;7,5;3,44;482;90,9
jun.2011;82,22;31.680;28.226;0,79;-0,19;19.367;1.541;7.813;1;21.371;17.469;3.902;7,2;4,74;469;90,9
sept.2011;82,34;30.310;27.038;0,66;0,22;19.258;1.586;7.852;1;19.275;18.929;346;7,6;5,25;471;91,1
dic.2011;83,27;33.362;29.553;0,72;0,57;20.983;1.940;8.868;1;20.579;18.262;2.317;6,8;5,25;512;95,3
mar.2012;84,37;32.030;28.681;1,41;0,70;19.310;1.595;8.129;1;19.864;17.184;2.681;6,8;5,03;490;91,2
jun.2012;84,77;33.423;29.909;1,75;1,05;20.516;1.713;8.271;1;19.751;18.055;1.696;6,8;5,00;496;91,2
sept.2012;84,51;32.012;28.518;1,50;1,24;20.428;1.778;8.338;1;17.406;19.475;-2.069;6,6;5,00;483;88,6
dic.2012;85,09;35.051;31.152;1,03;1,55;22.343;2.192;9.451;2;21.042;20.741;301;6,2;5,00;478;88,0
mar.2013;85,61;33.191;29.673;1,10;1,37;20.357;1.752;8.599;2;18.586;18.125;461;6,4;5,00;473;87,3
jun.2013;85,85;34.830;31.154;1,92;1,44;21.454;1.905;8.610;2;20.143;18.856;1.287;6,3;5,00;484;88,6
sept.2013;86,29;33.419;29.583;1,33;1,39;21.312;1.991;8.673;2;18.691;19.113;-422;5,9;5,00;507;91,4
dic.2013;87,05;36.437;32.323;0,99;1,47;23.254;2.368;9.874;2;19.350;18.661;689;5,8;4,68;516;92,7
mar.2014;87,94;34.130;30.429;0,24;1,24;21.268;1.813;9.156;2;18.972;17.132;1.840;6,5;4,34;551;97,6
jun.2014;89,23;35.338;31.460;0,04;0,68;22.015;1.884;8.967;1;19.702;16.956;2.746;6,5;4,00;554;97,4
sept.2014;89,97;33.757;29.966;-0,36;0,23;21.708;1.850;8.932;1;17.892;17.167;725;6,8;3,62;576;99,8
dic.2014;91,23;37.087;32.967;0,21;0,03;23.694;2.233;10.184;1;18.499;17.344;1.155;6,2;3,05;598;97,8
mar.2015;91,49;34.905;31.155;-0,42;-0,07;21.696;1.737;9.374;0;17.104;14.678;2.427;6,2;3,00;624;96,9
jun.2015;92,54;36.189;32.284;0,25;-0,06;22.533;1.863;9.136;0;16.087;13.750;2.337;6,7;3,00;618;94,0
sept.2015;93,71;34.530;30.916;0,33;0,07;22.256;1.878;9.038;0;14.235;15.390;-1.154;6,5;3,00;676;99,0
dic.2015;94,54;37.921;33.836;0,26;0,16;24.083;2.250;10.253;0;14.608;14.791;-183;5,9;3,24;698;98,9
mar.2016;95,02;35.941;32.158;0,28;0,38;22.450;1.890;9.625;0;15.071;13.016;2.054;6,5;3,50;702;96,5
jun.2016;95,85;36.647;32.886;-0,37;0,32;23.034;1.936;9.273;0;14.811;13.180;1.631;7,0;3,50;678;95,6
sept.2016;96,33;35.144;31.479;-0,22;0,24;22.756;1.940;9.219;0;14.516;14.715;-199;7,0;3,50;662;93,3
dic.2016;96,65;38.268;34.322;-0,58;0,12;24.778;2.346;10.555;0;16.321;14.944;1.377;6,2;3,50;666;92,1
mar.2017;97,37;35.802;32.453;-1,51;-0,12;23.176;2.081;9.923;0;15.676;14.632;1.044;7,0;3,29;656;91,4
jun.2017;97,74;36.797;33.141;-1,74;-0,38;23.765;2.166;9.611;0;16.381;14.635;1.746;7,3;2,68;665;93,3
sept.2017;97,83;35.813;31.965;-0,84;-0,45;23.540;2.202;9.536;0;17.559;15.591;1.967;7,0;2,50;643;92,1
dic.2017;98,46;39.318;35.115;-0,91;-0,27;25.709;2.581;10.952;1;19.207;16.614;2.593;6,5;2,50;633;90,9
mar.2018;99,11;37.401;33.543;-0,69;0,13;24.002;2.269;10.184;1;19.377;16.430;2.947;7,4;2,50;602;88,5
jun.2018;99,75;38.608;34.808;-0,21;0,97;24.900;2.424;9.975;2;18.923;17.532;1.391;7,5;2,50;621;89,7
sept.2018;100,35;36.672;32.801;-1,16;1,19;24.350;2.318;9.745;2;17.581;17.846;-265;7,5;2,50;662;92,0
dic.2018;100,79;40.536;36.264;-1,05;1,64;26.617;2.690;11.207;2;18.827;18.689;138;7,1;2,75;679;92,7
mar.2019;100,94;37.818;34.266;-1,00;1,78;24.730;2.232;10.304;2;18.242;16.449;1.793;7,2;3,00;667;92,1
jun.2019;101,96;39.177;35.515;-0,40;1,90;25.558;2.396;10.120;2;17.018;16.296;722;7,3;2,50;684;93,2
sept.2019;102,56;37.920;33.968;-1,20;2,35;25.034;2.268;9.929;2;16.706;16.868;-162;7,3;2,00;705;94,6
dic.2019;103,56;39.745;35.535;-5,40;1,40;25.554;2.329;10.829;1;16.796;16.197;599;7,1;1,75;755;100,3
mar.2020;104,67;37.884;34.137;-2,70;0,87;24.070;1.928;10.265;-1;17.198;14.120;3.079;8,2;1,00;803;105,5
jun.2020;104,95;33.595;29.893;-15,20;-3,65;19.855;1.542;8.437;-7;17.845;11.896;5.950;12,2;0,50;823;103,6
sept.2020;105,31;34.507;30.589;-11,00;-6,55;22.776;2.773;9.727;-10;17.987;13.867;4.120;12,3;0,50;781;101,3
dic.2020;106,55;39.747;35.637;-4,40;-6,97;26.611;3.228;11.834;-10;20.454;15.234;5.220;10,3;0,50;762;101,0
mar.2021;107,76;38.115;34.555;-0,40;-7,21;25.313;2.881;10.869;-9;22.215;17.975;4.239;10,4;0,50;724;98,2
jun.2021;108,72;39.683;35.948;0,00;-3,51;26.927;3.547;11.067;-3;23.730;19.087;4.643;9,5;0,50;715;98,2
sept.2021;110,45;40.449;36.768;4,70;0,20;29.040;3.684;11.929;2;23.541;22.526;1.015;8,4;1,50;771;105,2
dic.2021;113,62;44.999;40.896;5,10;2,24;31.713;4.146;13.647;5;25.617;23.227;2.390;7,5;4,00;850;110,0
mar.2022;116,71;50.277;47.077;4,21;3,92;33.654;3.521;14.536;8;24.537;23.249;1.289;7,8;7,00;809;109,3
jun.2022;121,25;51.820;48.385;2,99;5,03;33.734;3.401;13.960;9;25.255;24.805;449;7,8;9,00;841;110,0
sept.2022;125,53;49.807;46.280;1,62;4,63;32.912;3.094;13.821;7;23.394;24.863;-1.469;8,0;10,75;926;114,5
dic.2022;128,19;53.849;49.532;1,19;3,34;34.549;3.163;16.013;5;24.198;21.863;2.335;7,9;11,25;900;112,5
mar.2023;130,47;50.270;47.267;1,82;2,15;31.621;2.456;13.498;3;26.068;19.511;6.557;8,8;11,25;812;97,8
jun.2023;131,82;50.959;47.706;0,61;1,32;32.078;2.565;13.121;1;23.179;19.736;3.443;8,5;11,25;801;94,9
sept.2023;132,59;49.753;45.982;0,18;0,69;32.032;2.718;13.293;-1;22.281;20.401;1.880;8,9;9,50;850;99,2
dic.2023;134,45;53.656;49.817;-0,02;0,20;34.449;2.957;15.074;-1;23.600;21.200;2.400;8,6;8,50;870;100,0
